raw_class,raw_type,canonical_type,canonical_class,status,confidence,notes
,Kee 39,,,pending,,
,Spirit Yac,,,pending,,
,Kerr 36,,,pending,,
,Grand Sole,,,pending,,
,Beneteau F,,,pending,,
,King 40,,,pending,,
,Arcona 430,,,pending,,
,Max Fun 35,,,pending,,
,Type,,,pending,,
,J105,,,pending,,
,J99,,,pending,,
,JPK 1010,,,pending,,
,Oyster 48,,,pending,,
,JOK 1080,,,pending,,
,J/88,,,pending,,
,J/105,,,pending,,
,Corby 35,,,pending,,
,Sunfast 36,,,pending,,
,Sun Fast 36,,,pending,,
,X Yacht 37,,,pending,,
,Sunfast 33,,,pending,,
,Dufour 36P,,,pending,,
,J/92,,,pending,,
,J92S,,,pending,,
,Archambault,,,pending,,
,Etchells,,,pending,,
,X-302,,,pending,,
,30 Square,,,pending,,
,J92,,,pending,,
,MG 346,,,pending,,
,J70,,,pending,,
,First 34.7,,,pending,,
,J/80,,,pending,,
,Hallberg Rassy 342,,,pending,,
,Adams 10,,,pending,,
,Half tonner,,,pending,,
,Elan 333,,,pending,,
,J29,,,pending,,
,Sunfast 32,,,pending,,
,S&S 43,,,pending,,
,Sun Fast 33,,,pending,,
,X-34 Shall,,,pending,,
,Mustang 30,,,pending,,
,Jeanneau F,,,pending,,
,Hanse 291,,,pending,,
,Corby 25,,,pending,,
,Swan 36,,,pending,,
,Stella,,,pending,,
,GibSea 90,,,pending,,
,X95,,,pending,,
,J/30,,,pending,,
,Hunter Son,,,pending,,
,Limbo 6.6,,,pending,,
,Evolution,,,pending,,
,Westerly R,,,pending,,
Hunter 707,,,,pending,,
RS200,,,,pending,,
IRC,BOTIN 52 Custom (2,,,pending,,
IRC,KER 46 (12) 3.35 #,,,pending,,
IRC,TP 52 3.35 R&P,,,pending,,
IRC,JPK 11.80 2.35,,,pending,,
IRC,FIRST 50 (06) 2.80,,,pending,,
IRC,LANDMARK 43 MOD ke,,,pending,,
IRC,KER 39 2.60 Proto,,,pending,,
IRC,REFLEX 38,,,pending,,
IRC,HALF TON Farr,,,pending,,
IRC,JPK 10.10 1.98,,,pending,,
IRC,JPK 10.10 1.98 mod,,,pending,,
IRC,J 105,,,pending,,
IRC,ETCHELLS 22 OD,,,pending,,
IRC,WEST SOLENT ONE DE,,,pending,,
Admiral's Cup,BOTIN 56 (18) WB,,,pending,,
Admiral's Cup,TP52 IRC,,,pending,,
Admiral's Cup,Wally Rocket 51,,,pending,,
Admiral's Cup,BOTIN 52 Custom (2,,,pending,,
Admiral's Cup,KER 46 (12) 3.35 #,,,pending,,
Admiral's Cup,CARKEEK CF 520 #02,,,pending,,
Admiral's Cup,TP 52 J/V PAC 52 W,,,pending,,
Admiral's Cup,TP52,,,pending,,
Admiral's Cup,TEASING 52 3.00,,,pending,,
Admiral's Cup,2011 Botin TP52,,,pending,,
Admiral's Cup,CARKEEK 45 (23) Cu,,,pending,,
Admiral's Cup,COOKSON 50 3.50 MO,,,pending,,
Admiral's Cup,TP 52,,,pending,,
Admiral's Cup,TISON 48,,,pending,,
Admiral's Cup,TP 52 3.19 J&V,,,pending,,
Admiral's Cup,GP 42 B&C 3.30 (09,,,pending,,
Admiral's Cup,BOTIN 41 Custom,,,pending,,
Admiral's Cup,KER 43 Custom WB,,,pending,,
Admiral's Cup,GP 42 RP (07) MOD,,,pending,,
Admiral's Cup,SYDNEY GTS 43 MOD,,,pending,,
Admiral's Cup,CARKEEK 40 Mk2 GP,,,pending,,
Admiral's Cup,GP 42 Farr 2.60 (0,,,pending,,
Admiral's Cup,MAT 1220 2.50 Fin6,,,pending,,
Admiral's Cup,JPK 11.80 2.28 Mod,,,pending,,
Admiral's Cup,HUMPHREYS H39 2.49,,,pending,,
Admiral's Cup,JPK 11.80 2.35 Fin,,,pending,,
Admiral's Cup,NMD 43 2.99,,,pending,,
Admiral's Cup,MILLENIUM 40 2.50,,,pending,,
Admiral's Cup,CARKEEK 40+ CF 3.0,,,pending,,
Cape 31,,,,pending,,
Dragon,,,,pending,,
,Folkboat,,,pending,,
,Spirit Yacht,,,pending,,
,X40 Custom,,,pending,,
,Grand Soleil 46,,,pending,,
,Club swan 42,,,pending,,
,J/45,,,pending,,
,JPK1080,,,pending,,
,X37,,,pending,,
,Sunfast 3300 1.95,,,pending,,
,J 105,,,pending,,
,First 35,,,pending,,
,J 70,,,pending,,
,J92 S,,,pending,,
,Sunfast 3200,,,pending,,
,Sigma38,,,pending,,
,S&S 43',,,pending,,
,X-34 Shallow Draft,,,pending,,
,J,,,pending,,
